addressnbr,addressline1,city,state,zip,streetaddress,lat,lng,tradename,owner,phone,county
701,OLD HWY 135 SOUTH,KILGORE,TX,75662,701 OLD HWY 135 SOUTH,32.38398489,-94.87015023,P V CUT-RATE LIQUOR,PV CUT RATE LIQUOR LLC,903-985-4785,Gregg
1009,HOOKS AVENUE,DONNA,TX,78537,1009 HOOKS AVENUE,26.17030648,-98.05202994,PACOS LIQUOR STORE,U.S. LIQUOR STORES LLC,956-451-4547,Hidalgo
1005,HENDERSON,PALACIOS,TX,77465,1005 HENDERSON,28.71377296,-96.22496365,PALACIOS HARBOR SPIRITS,"VU, FAUSTINA LONGORIA",,Matagorda
3911,HWY 35 SOUTH,ROCKPORT,TX,78382,3911 HWY 35 SOUTH,28.13500021,-97.05317846,PALM LIQUOR,"MUSE, DEBBIE TUCKER",361-790-9917,Aransas
2711,61ST STREET SUITE 110,GALVESTON,TX,77551,2711 61ST STREET SUITE 110,29.2709211,-94.8308513,PALM LIQUOR SPEC'S WINE & SPIRITS SPEC'S WINE SPIRITS AND FINER,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Galveston
4500,E PALM VALLEY BOULEVARD,ROUND ROCK,TX,78665-2663,4500 E PALM VALLEY BOULEVARD,30.532888,-97.6167051,PALM VALLEY LIQUORS,PALM VALLEY LLC,,Williamson
4775,W PANTHER CREEK DRIVE,THE WOODLANDS,TX,77381,4775 W PANTHER CREEK DRIVE,30.16861033,-95.50440192,PANTHER CREEK WINE & SPIRITS,NIRIVA LLC,,Montgomery
13199,HWY 259,NACOGDOCHES,TX,75965,13199 HWY 259,31.72383156,-94.62603047,PAPA BILLS LIQUOR,O & P INC.,936-569-8538,Nacogdoches
819,S GASTON STREET,CRANE,TX,79731,819 S GASTON STREET,31.39494041,-102.3493541,PAPA CHUY'S LIQUOR,PAPA CHUY'S LLC,432-558-3888,Crane
1228,LOCKWOOD,TAHOKA,TX,79373,1228 LOCKWOOD,33.17080448,-101.8344274,PAPA JOES BEER WINE & LIQUOR,MAMA LILLY INC.,806-561-2220,Lynn
413,W 12TH,MONAHANS,TX,79756,413 W 12TH,31.58228165,-102.892961,PAPI'S LIQUOR LLC,PAPI'S LIQUOR LLC,432-614-4386,Ward
6204,E ROSEDALE STREET,FORT WORTH,TX,76112,6204 E ROSEDALE STREET,32.7293319,-97.2231772,PARADISE BEVERAGE,RUSSTAM CORPORATION,(817) 446-4425,Tarrant
7409,HWY 190 WEST,NEWTON,TX,75966,7409 HWY 190 WEST,30.83520734,-93.72840006,PARADISE LIQUOR,PHARMA USA INC.,409-384-9980,Newton
6504,HWY 380 EAST,CROSS ROADS,TX,76227,6504 HWY 380 EAST,33.27391526,-96.99051085,PARADISE LIQUOR,PARADISE FINE SPIRITS & FINER FOODS LLC,940-395-9091,Denton 
301,LEGACY DRIVE SUITE B,PLANO,TX,75023,301 LEGACY DRIVE SUITE B,33.0684,-96.6992,PARADISE LIQUOR,PARADISE FINE SPIRITS & FINER FOODS LLC,,Collin
1217,FM 407 WEST,CORRAL CITY,TX,76226-5723,1217 FM 407 WEST,33.100374,-97.22500932,PARADISE SPIRITS & WINES,RCG F&B LLC,940-648-3573,Denton 
4280,HWY 87S SUITE 1,CENTER,TX,75935,4280 HWY 87S SUITE 1,31.73268427,-94.20157425,PARKER'S PACKAGE STORE,"PARKER, KELLY KOONCE",936-598-4096,Shelby
22090,WESTHEIMER PARKWAY,KATY,TX,77450,22090 WESTHEIMER PARKWAY,29.73432869,-95.75493614,PARKWAY LIQUOR,"PATEL, VIJAY CHIMANBHAI",(281) 398-2737,Fort Bend
3530,N 19TH STREET,WACO,TX,767082008,3530 N 19TH STREET,31.5774961,-97.1711212,PARTY PACK LIQUOR BEER & WINE,SAMPOVMEAS INC.,(254) 235-6789,McLennan
8227,WINDFERN ROAD,HOUSTON,TX,77040,8227 WINDFERN ROAD,29.89066801,-95.53753893,PARTY PANTRY LIQUOR,"VAIDYA, MANVENDRA RAVINDRA",713 466-1583,Harris
5747,W AMARILLO BOULEVARD SUITE 500,AMARILLO,TX,79106-4019,5747 W AMARILLO BOULEVARD SUITE 500,35.2115864,-101.9016593,PARTY STOP #1,PARTY-STOP INC.,806-353-5553,Potter
6018,WESTERN STREET,AMARILLO,TX,79110,6018 WESTERN STREET,35.1450637,-101.884294,PARTY STOP #4 LIQUOR BEER FINE WINE & SPIRITS,PARTY-STOP INC.,806-353-5678,Randall
7301,SW 45TH AVENUE,AMARILLO,TX,79119-4935,7301 SW 45TH AVENUE,35.1612753,-101.9206302,PARTY STOP #6 LIQUOR BEER FINE WINES & SPIRITS,PARTY-STOP INC.,806-353-5678,Randall
2314,S GEORGIA,AMARILLO,TX,791091837,2314 S GEORGIA,35.1896814,-101.8665854,PARTY STOP #7,PARTY-STOP INC.,806-353-5557,Potter
2227,NORTHPARK DRIVE,KINGWOOD,TX,77339,2227 NORTHPARK DRIVE,30.06858796,-95.21685366,PASCALE'S OF KINGWOOD,GURUSAISHAKTI CORPORATION,(281) 358-3119,Harris
6808,N LAMAR BOULEVARD SUITE B100,AUSTIN,TX,78752,6808 N LAMAR BOULEVARD SUITE B100,30.3360581,-97.720689,PASSIONATE SPIRITS,"RUN, SOVANNDARY",,Travis
1341,HWY 77 SOUTH,HALLETTSVILLE,TX,77964,1341 HWY 77 SOUTH,29.37693661,-96.84370647,PATEKS  LIQUOR,PATEKS LIQUOR LLC,361-798-9599,Lavaca
6524,MEADOWBROOK DRIVE,FORT WORTH,TX,76112,6524 MEADOWBROOK DRIVE,32.7455633,-97.218065,PAUL'S LIQUOR BEER & WINE,FOREVER GOLD LLC,817-496-0436,Tarrant
3400,S SHAVER SUITE B,SOUTH HOUSTON,TX,77587,3400 S SHAVER SUITE B,29.6584363,-95.2086727,PAULS LIQUOR AND WINES,"PAUL, MARY V (ET AL)",713-910-4678,Harris
2504,AVE K SUITE 115,PLANO,TX,75074-5341,2504 AVE K SUITE 115,33.03280342,-96.69895345,PAYLESS BEVERAGES,WONG & SIM INC.,972-422-0677,Collin
3701,W CLARENDON DRIVE SUITE 200,COCKRELL HILL,TX,75211,3701 W CLARENDON DRIVE SUITE 200,32.73505617,-96.88103471,PAYLOW LIQUOR BEER & WINE,GOURI ENTERPRISES LLC,214-331-0700,Dallas
3320,E BROADWAY SUITE 102,PEARLAND,TX,77581,3320 E BROADWAY SUITE 102,29.5607628,-95.27523407,PEARLAND FINE WINES & SPIRITS,LIMMRICK SPIRITS LLC,,Brazoria
14519,CULLEN BOULEVARD 'A',HOUSTON,TX,77047,14519 CULLEN BOULEVARD 'A',29.5968386,-95.3519819,PEARLAND LIQUOR,EASTERN GROUP LLC,713-264-6580,Harris
630,S SAM HOUSTON PARKWAY WEST,HOUSTON,TX,77047,630 S SAM HOUSTON PARKWAY WEST,29.5981459,-95.3956442,PEARLAND LIQUOR,EASTERN GROUP LLC,713-433-5055,Harris
202,N PECAN SUITE 300,HICO,TX,76457,202 N PECAN SUITE 300,31.97938918,-98.03143567,PECAN STREET DRINK SHOPPE,MOSTLY GOOD IDEAS LLC,254-796-2230,Hamilton
8013,JOHN RALSTON ROAD,HOUSTON,TX,77044,8013 JOHN RALSTON ROAD,29.83887653,-95.22737518,PEECEE LIQUOR,DIXA USA ENTERPRISES INC.,281-857-6003,Harris
5301,ALMA DR SUITE B,PLANO,TX,75023,5301 ALMA DR SUITE B,33.05303062,-96.71027984,PEKING LIQUOR,PEKING LIQUOR LLC,917-667-7808,Collin
3291,BROADWAY STREET,PEARLAND,TX,77581,3291 BROADWAY STREET,29.5602862,-95.27352,PETE'S LIQUOR & WINE,PETE'S LIQUOR & WINE LLC,281-831-3171,Brazoria
210,IH 35 NORTH,COTULLA,TX,78014,210 IH 35 NORTH,28.36123561,-99.14483769,PETE'S LIQUOR & WINE,PETE'S LIQUOR & WINE LLC,,La Salle
11407,SPRING CYPRESS ROAD SUITE 400,TOMBALL,TX,77377,11407 SPRING CYPRESS ROAD SUITE 400,30.0123323,-95.5955399,PG LIQUORS,PGPSC INVESTMENTS LLC,,Harris
19744,TOMBALL PARKWAY,HOUSTON,TX,77070,19744 TOMBALL PARKWAY,29.9777277,-95.57315362,PG LIQUORS,PGP INVESTMENTS LLC,(281) 894-2600,Harris
2005,INDUSTRIAL BOULEVARD,KILGORE,TX,75662,2005 INDUSTRIAL BOULEVARD,32.37151601,-94.88911826,PICKER'S LIQUOR,MCM VENTURES LLC,903-988-9494,Gregg
519,S PRESA,SAN ANTONIO,TX,78205-3428,519 S PRESA,29.4173308,-98.4895327,PIG LIQUORS,TIENDANET ENTERPRISES LLC,210-226-6465,Bexar
6328,HWY 183 SOUTH,AUSTIN,TX,787445424,6328 HWY 183 SOUTH,30.16620143,-97.69254148,PILOT KNOB LIQUOR,PILOT KNOB LIQUOR INC.,512 243-0010,Travis
420,HWY 377 SOUTH,PILOT POINT,TX,76258,420 HWY 377 SOUTH,33.40036377,-96.94443493,PILOT POINT LIQUOR,SHARMA & TAKHAR LLC,,Denton 
4255,N MAIN SUITE A,PINE FOREST,TX,77662,4255 N MAIN SUITE A,30.18467242,-94.02388367,PINE FOREST LIQUOR STORE,UMAAR LLC,,Orange
7111,HWY 146 NORTH,BAYTOWN,TX,77523-9034,7111 HWY 146 NORTH,29.80038299,-94.90467651,PINEHURST WINE & LIQUOR,BAYTOWN BEST LIQUOR INC.,281-573-4960,Chambers
716,HURST STREET,CENTER,TX,75935,716 HURST STREET,31.79963275,-94.19090461,PINEYWOODS BEVERAGE,J-5 ENTERPRISES LLC,936-598-2700,Shelby
4239,SHERWOOD WAY,SAN ANGELO,TX,76901,4239 SHERWOOD WAY,31.4389472,-100.4914213,PINKIE'S #36,PINKIE'S INC.,325-949-2500,Tom Green
1415,S BRYANT,SAN ANGELO,TX,76903,1415 S BRYANT,31.44714341,-100.4423112,PINKIE'S #38,PINKIE'S INC.,325-949-9463,Tom Green
13712,FM 3005,GALVESTON,TX,77554,13712 FM 3005,29.25089027,-94.85384623,PIRATES LIQUOR,PIRATES LIQUOR INC.,409-497-4556,Galveston
501,IH 35 NORTH,GAINESVILLE,TX,762406406,501 IH 35 NORTH,33.65611443,-97.17452092,PIT STOP LIQUOR,TANGSENG STORE LLC,940-612-2008,Cooke
909,E PARK AVENUE,HEREFORD,TX,79045,909 E PARK AVENUE,34.82207033,-102.3919118,PIT STOP LIQUOR,"PACHECO, GEORGE (ET AL)",,Deaf Smith
3204,CAMP BOWIE BOULEVARD SUITE 102,FORT WORTH,TX,76107,3204 CAMP BOWIE BOULEVARD SUITE 102,32.7509228,-97.3632328,PK LIQUOR COMPANY,JJS ENTERPRISES LLC,,Tarrant
302,SAM HOUSTON DRIVE,VICTORIA,TX,77901,302 SAM HOUSTON DRIVE,28.81775129,-96.96835944,PK LIQUORS,PK BEVERAGES INC.,361-574-9122,Victoria
5454,HWY 380,LOWRY CROSSING,TX,75407,5454 HWY 380,33.1812958,-96.5300247,PLANET SPIRIT,PLANET SPIRIT LLC,214 727 6181,Collin
4008,STAN SCHLUETER LOOP '104',KILLEEN,TX,76548,4008 STAN SCHLUETER LOOP '104',31.0755259,-97.7038989,PLANET X LIQUOR,BEST WISKY'S & LIQUOR LLC,214-356-5128,Bell
601,W PARKER ROAD SUITE 107,PLANO,TX,75023,601 W PARKER ROAD SUITE 107,33.0411323,-96.7085038,PLANO LIQUOR,GD PARK INC.,972-423-8881,Collin
9205,PLANTATION ROAD SUITE 111,GRANBURY,TX,76049-4152,9205 PLANTATION ROAD SUITE 111,32.371439,-97.657862,PLANTATION LIQUORS,J O ENTERPRISES INC.,817-579-8746,Hood
418,HWY 3,LA MARQUE,TX,77568,418 HWY 3,29.3752346,-94.9676989,PLAZA LIQUOR,PATSON LIQUOR INC.,409-935-9434,Galveston
1872,FM 359,RICHMOND,TX,77406,1872 FM 359,29.61386813,-95.74303404,PLAZA LIQUOR,"HASSANSEI, NEMATULLAH",281 342-5567,Fort Bend
13200,HWY 287/81 SUITE 103,HASLET,TX,76052,13200 HWY 287/81 SUITE 103,32.98629264,-97.37655804,PLAZA LIQUOR,KP SPIRITS INC.,817-439-1281,Tarrant
9646,BEECHNUT STREET,HOUSTON,TX,77036,9646 BEECHNUT STREET,29.69055668,-95.55022018,PLAZA LIQUOR,"DEMISSE, GEDIYON MENGSTEB",713-988-1332,Harris
350,IH 10E SUITE A,LULING,TX,78648,350 IH 10E SUITE A,29.69104739,-97.63448166,PLUM NELLY LIQUORS,"POWELL, CHRISTIAN TURNER",,Caldwell
4100,E 52ND ST SUITE D,ODESSA,TX,79762,4100 E 52ND ST SUITE D,31.90236636,-102.3404845,PLUM SPIRITS & WINE,PLUM SPIRITS & WINE LLC,636-293-0825,Ector
12458,HWY 11 WEST,LEESBURG,TX,75451,12458 HWY 11 WEST,32.96632701,-95.12120574,PO-BOY'S LIQUOR BEER WINE,SVL ENTERPRISE INC.,903-241-8168,Camp
802,W ADAMS SUITE A,PORT OCONNOR,TX,77982,802 W ADAMS SUITE A,28.445515,-96.41287913,POC LIQUOR STORE,"MCCAULEY, NORAL LYNN",361-983-4733,Calhoun
1818,N SEVEN POINTS DRIVE,SEVEN POINTS,TX,75143,1818 N SEVEN POINTS DRIVE,32.36358991,-96.24814658,POINT 1 BEVERAGES,TOU STORE RETAIL LLC,903-498-6472,Henderson
2001,W ADAMS AVENUE 'C',TEMPLE,TX,76504,2001 W ADAMS AVENUE 'C',31.10232734,-97.36221111,POINT LIQUOR 3,BLRL DISTRIBUTION LTD.,254-773-1600,Bell
1,N 6TH STREET,TEMPLE,TX,76501-4332,1 N 6TH STREET,31.09581712,-97.33818473,POINT LIQUOR 4,BLRL DISTRIBUTION LTD.,254-778-5053,Bell
904,S FORT HOOD STREET,KILLEEN,TX,76541,904 S FORT HOOD STREET,31.129084,-97.7394828,POINT LIQUOR 5,BLRL DISTRIBUTION LTD.,254-778-5053,Bell
1312,E RANCIER,KILLEEN,TX,76541,1312 E RANCIER,31.12346202,-97.71793825,POINT LIQUOR 6,BLRL DISTRIBUTION LTD.,254-690-6400,Bell
3401,W STAN SCHLUETER LOOP,KILLEEN,TX,76549,3401 W STAN SCHLUETER LOOP,31.0863139,-97.7853617,POINT LIQUOR 7,BLRL DISTRIBUTION LTD.,254-778-5053,Bell
345,E HASTINGS AVENUE,AMARILLO,TX,79108,345 E HASTINGS AVENUE,35.2511731,-101.829498,POKEY'S LIQUORS,POKEY'S LLC,806-731-2128,Potter
10610,FONDREN SUITE 102,HOUSTON,TX,77096,10610 FONDREN SUITE 102,29.6659332,-95.5089389,POLAR LIQUOR,TOOR HOLDINGS LLC,,Harris
101,E HWY 82 AND FM 44 NORTH,ANNONA,TX,75550,101 E HWY 82 AND FM 44 NORTH,33.49407071,-94.88241583,PONDEROSA LIQUOR STORE,PONDEROSA LIQUORS INC.,(903) 697-3301,Red River 
4110,HWY 46 NORTH,SEGUIN,TX,78115-0138,4110 HWY 46 NORTH,29.6341001,-98.0305766,POOTER'S LIQUOR STORE,RUKMINI MAI INC.,830-379-7373,Guadalupe
22608,ALDINE WESTFIELD ROAD,SPRING,TX,77373,22608 ALDINE WESTFIELD ROAD,30.04257003,-95.38328656,POP'S BEVEAGE,MERITO EXPRESS INC.,,Harris
150,N VAIL STREET,LA GRANGE,TX,78945,150 N VAIL STREET,29.9094723,-96.8706659,POP-A-TOP BOTTLE SHOP,POP-A-TOP BOTTLE SHOP LLC,979-966-8149,Fayette
341,E MILL STREET,ROUND TOP,TX,78954,341 E MILL STREET,30.0638978,-96.6941061,POP-A-TOP BOTTLE SHOP TOO,POP-A-TOP BOTTLE SHOP LLC,979-966-8149,Fayette
4330,CALLAGHAN ROAD,SAN ANTONIO,TX,78228,4330 CALLAGHAN ROAD,29.466786,-98.6012422,POPS A LIQUOR,JPSM WALIA ENTERPRISES INC.,210-435-5531,Bexar
7432,W MILITARY DRIVE,SAN ANTONIO,TX,78227,7432 W MILITARY DRIVE,29.416446,-98.6283477,POPS A LIQUOR #2,JPSM WALIA ENTERPRISES INC.,210-435-5531,Bexar
1602,SAN JACINTO,HOUSTON,TX,77002,1602 SAN JACINTO,29.7513338,-95.3670746,POSH LIQUOR,POSH LIQUOR LLC,713-228-3339,Harris
1726,FM 1750,ABILENE,TX,79602,1726 FM 1750,32.32864365,-99.69608432,POTOSI LIQUOR STORE,"MCGUINESS, CHRISTOPHER L",325-529-6662,Taylor
412,N FRIENDSWOOD DRIVE,FRIENDSWOOD,TX,77546,412 N FRIENDSWOOD DRIVE,29.5288035,-95.2006475,POTTER LIQUOR,ABURAJ INC.,281-482-8633,Galveston
1546,SUNSET DRIVE,FRIENDSWOOD,TX,77546,1546 SUNSET DRIVE,29.50704527,-95.19176495,POTTER'S LIQUOR,FLUID CAPITAL LLC,281-482-6029,Galveston
5109,FM 2351,FRIENDSWOOD,TX,77546,5109 FM 2351,29.54487812,-95.19474155,POTTERS LIQUOR #1,ABURAJ INC.,,Harris
13080,HWY 105 WEST SUITE 112,CONROE,TX,77304-1651,13080 HWY 105 WEST SUITE 112,30.34415066,-95.55527179,PREMIER BEVERAGE,PREMIER BEVERAGE LLC,936-588-1674,Montgomery
27170,GLEN LOCH DRIVE,THE WOODLANDS,TX,77381,27170 GLEN LOCH DRIVE,30.15196892,-95.49404563,PREMIER BEVERAGE,PREMIER BEVERAGE LLC,936 718 4867,Montgomery
174,YALE ST SUITE 800,HOUSTON,TX,77007,174 YALE ST SUITE 800,29.7735162,-95.3984421,PREMIER FINE WINE & SPIRITS,RAJ K CORPORATION,281-974-1414,Harris
4001,BELLAIRE BOULEVARD SUITE B,SOUTHSIDE PLACE,TX,77025,4001 BELLAIRE BOULEVARD SUITE B,29.7054189,-95.4406168,PREMIER FINE WINE & SPIRITS,PREMIER FINE WINE & SPIRITS L.L.C.,713-586-0556,Harris
6810,MURPHY ROAD SUITE 500,SACHSE,TX,75048,6810 MURPHY ROAD SUITE 500,32.98268508,-96.61330944,PREMIER LIQUOR,RISHA INC.,,Dallas
2921,GEORGE DIETER DRIVE SUITE F,EL PASO,TX,799362943,2921 GEORGE DIETER DRIVE SUITE F,31.79355437,-106.3024446,PREMIER WINE & SPIRITS 2,"BRISENO, ENRIQUE ARZOLA",,El Paso
2945,S GULF FREEWAY 'A',LEAGUE CITY,TX,77573,2945 S GULF FREEWAY 'A',29.4671899,-95.0940016,PRIDE LIQUOR & WINE,"EID, GEORGE TANIOS",281-534-3434,Galveston
5517,E LOOP 820 SOUTH,FORT WORTH,TX,76119,5517 E LOOP 820 SOUTH,32.6770229,-97.2388598,PRIME VALLEY,LUCKY ARMADILLO LLC,817-478-1553,Tarrant
1704,NW 28TH STREET,FORT WORTH,TX,761066845,1704 NW 28TH STREET,32.79508848,-97.33447702,PRIMO LIQUOR,JAI AKSHAR L.L.C.,(817) 625-3929,Tarrant
3901,W JEFFERSON BOULEVARD,COCKRELL HILL,TX,75211,3901 W JEFFERSON BOULEVARD,32.739194,-96.88426985,PRIMOS LIQUOR,M N KHAN INTERNATIONAL INC.,214-337-6301,Dallas
5805,E SAM HOUSTON PARKWAY N,HOUSTON,TX,77049,5805 E SAM HOUSTON PARKWAY N,29.8090752,-95.1668161,PRINCE LIQUOR,PRIYA LIQUOR STORES INC.,713-450-3500,Harris
3420,FM 967 SUITE B107,BUDA,TX,78610,3420 FM 967 SUITE B107,30.07722665,-97.83739762,PROOF LIQUOR & DELI,SISTER SPIRITS INC.,512-507-1740,Hays
2972,PARK HILL DRIVE,FORT WORTH,TX,76109,2972 PARK HILL DRIVE,32.7162681,-97.3598266,PUT A CORK IN IT,KEEL'S PUT A CORK IN IT WINE L.L.C.,817 924 2675,Tarrant
15948,S POST OAK ROAD SUITE D,HOUSTON,TX,77053,15948 S POST OAK ROAD SUITE D,29.5941753,-95.4684803,QUAIL LIQUOR STORE,RSPQUAIL INC.,832-230-4024,Fort Bend
1316,W CENTRAL TEXAS EXPRESSWAY,KILLEEN,TX,76541,1316 W CENTRAL TEXAS EXPRESSWAY,31.1093451,-97.7499792,QUEEN LIQUOR STORE,QUEEN LIQUOR STORE INC.,254-535-4678,Bell
12518,RESEARCH BOULEVARD SUITE H,AUSTIN,TX,787592211,12518 RESEARCH BOULEVARD SUITE H,30.428714,-97.7604666,QUEEN'S LIQUOR,BEVERAGE WINE ENTERPRISE INC.,512 335-4200,Travis
1106,N SWENSON,STAMFORD,TX,79553,1106 N SWENSON,32.95789837,-99.80283178,QUENCHERS LIQUOR BEER & WINE,D & D PACKAGE STORE LLC,,Jones
8095,COLLEGE STREET SUITE A,BEAUMONT,TX,77707,8095 COLLEGE STREET SUITE A,30.0667084,-94.1868381,QUICK HIT,QUICK HIT INC.,409-790-0846,Jefferson
6325,BANDERA ROAD,LEON VALLEY,TX,78238,6325 BANDERA ROAD,29.4886889,-98.6089725,QUICK N FAST CONVENIENCE,"TRINH, KEVIN",210-521-6266,Bexar
1020,MARTIN LUTHER KING DRIVE,HUNTSVILLE,TX,77320-4710,1020 MARTIN LUTHER KING DRIVE,30.72400861,-95.54333881,QUICK PIC LIQUOR,SAANVI BUSINESS INC.,936-435-1333,Walker
117,IH 30 SOUTH B,CUMBY,TX,75433,117 IH 30 SOUTH B,33.10765232,-95.80426869,QUICK STOP,NAT'S QUICK STOP INC.,903-994-2127,Hopkins
2621,FM 1004,CALL,TX,75933,2621 FM 1004,30.61329346,-93.83411855,QUICK STOP LIQUOR,PAKSE INC.,(409) 423-5235,Newton
2011,W SPRING CREEK PARKWAY,PLANO,TX,750234292,2011 W SPRING CREEK PARKWAY,33.0596959,-96.7318946,QUICK TREAT BEER WINE & LIQUOR,RUSHI FAMILY GROUP INC.,972-901-9299,Collin
411,W HANING STREET,HOWE,TX,75459-4565,411 W HANING STREET,33.5069958,-96.6169809,QUICK WAY LIQUOR BEER & WINE,1ST QUICK CHECK CONVENIENCE STORES INC.,903-364-5304,Grayson
14774,HWY 121,TRENTON,TX,75490,14774 HWY 121,33.43432064,-96.31343609,QUICK WAY LIQUOR BEER & WINE,1ST QUICK CHECK CONVENIENCE STORES INC.,903-989-2000,Fannin
102,E BARRY STREET,WALNUT SPRINGS,TX,76690,102 E BARRY STREET,32.05065556,-97.75008543,QUICKER LIQUOR AND BEER BARN,"BREDFIELD, DARSHAN ANN",254-797-2686,Bosque
7294,HWY 224,GREENVILLE,TX,75401,7294 HWY 224,33.19416478,-96.01798137,QUICKER LIQUOR OF GREENVILLE,QUICKER LIQUOR OF GREENVILLE LLC,(903) 454-3554,Hunt
10263,HWY 385 SOUTH,ODESSA,TX,79766,10263 HWY 385 SOUTH,31.74024741,-102.3570223,R & J LIQUOR STORE,"MELENDEZ, REYES",432 580-4991,Ector
22590,HWY 60 WEST,UMBARGER,TX,79091,22590 HWY 60 WEST,34.90642334,-102.1125076,R & R LIQUOR,"WINGO, ROY DALE (ET AL)",806-499-3553,Randall
323,SANDERS,SPEARMAN,TX,79081,323 SANDERS,36.23071779,-101.2180338,R & S QUIK STOP,"CARBAJAL, SANDRA D",806-644-9463,Hansford
208,E LIVE OAK,MALONE,TX,76660,208 E LIVE OAK,31.92430285,-96.90236526,R AND G LIQUOR,"ALVARADO, JOSEFINA (ET AL)",254 533 2331,Hill
14618,HWY 6,SANTA FE,TX,77517-3405,14618 HWY 6,29.3847926,-95.1232148,R B LIQUOR,"HUYNH, ROYAL",409-925-5175,Galveston
10760,N LOOP DRIVE SUITE A1,SOCORRO,TX,799274689,10760 N LOOP DRIVE SUITE A1,31.65837771,-106.2731943,R LIQUORS INC.,R LIQUORS INC.,915-790-0665,El Paso
2312,19TH STREET SUITE 100,LUBBOCK,TX,79401,2312 19TH STREET SUITE 100,33.5781318,-101.8668748,RAIDER LIQUOR,RAIDER LIQUOR LLC,806-368-9845,Lubbock
2906,4TH STREET,LUBBOCK,TX,79415,2906 4TH STREET,33.59255358,-101.8792012,RAIDER MART,"AWAN, MALIK QAISAR",806-853-9818,Lubbock
2024,34TH STREET,LUBBOCK,TX,79411,2024 34TH STREET,33.56337216,-101.8599653,RAIDER PACKAGE,GUNRUNNER LLC,806-281-8477,Lubbock
202,E BROADWAY,CUERO,TX,77954,202 E BROADWAY,29.09301518,-97.2877025,RANCH HOUSE SPIRITS & GIFTS,"STILES, DONALD MADDY JR",(361) 275-8860,DeWitt
9051,RANDOL MILL ROAD '121',FORT WORTH,TX,76120,9051 RANDOL MILL ROAD '121',32.7581087,-97.1561469,RANDOL MILL BEVERAGE,BEV30 INC.,817-860-1635,Tarrant
2138,NOGALITOS,SAN ANTONIO,TX,78225,2138 NOGALITOS,29.3922392,-98.5186963,RAOUL'S PACKAGE STORE,RAOUL'S PACKAGE STORE LIMITED LIABILITY COMPANY,210 532-1663,Bexar
2217,UNIVERSITY AVENUE,LUBBOCK,TX,79410,2217 UNIVERSITY AVENUE,33.57445743,-101.8703495,RAVI'S LIQUOR,JOE'S LIQUOR LLC,806-687-3516,Lubbock
8435,FM 2920 SUITE R,TOMBALL,TX,77379,8435 FM 2920 SUITE R,30.0729031,-95.5515572,RAY'S LIQUOR,NRV ENTERPRISE INC.,281-551-9069,Harris
8640,W RAYFORD ROAD SUITE 140,SPRING,TX,77389,8640 W RAYFORD ROAD SUITE 140,30.11528294,-95.50760887,RAYFORD LIQUOR,J R BARNEY LLC,832-488-9279,Harris
8111,HWY 287 BUILDING H,ARLINGTON,TX,76001,8111 HWY 287 BUILDING H,32.61464123,-97.16067581,RAYMOND'S LIQUOR STOP,R E MASELLA LLC,,Tarrant
2948,N 16TH STREET,ORANGE,TX,77630,2948 N 16TH STREET,30.11925038,-93.74742187,RED'S DISCOUNT LIQUOR #1,ORANGE PACKAGE #1 LLC,(409) 883-4222,Orange
1201,GREEN AVENUE,ORANGE,TX,77630,1201 GREEN AVENUE,30.09298279,-93.74159029,RED'S DISCOUNT LIQUOR #2,ORANGE PACKAGE #2 LLC,409-883-6208,Orange
6311,FM 1442,BRIDGE CITY,TX,77611,6311 FM 1442,30.07248741,-93.9041121,RED'S DISCOUNT LIQUOR #3,ORANGE PACKAGE #2 LLC,,Orange
712,N UNIVERSITY DRIVE,NACOGDOCHES,TX,75961,712 N UNIVERSITY DRIVE,31.6070853,-94.6414043,REDLINE LIQUOR,SANDA KONG INC.,936-715-0023,Nacogdoches
2555,CARTWRIGHT ROAD,MISSOURI CITY,TX,77459,2555 CARTWRIGHT ROAD,29.58296145,-95.54205853,REGAL LIQUOR,RDMS ENTERPRISES LLC,281-261-5347,Fort Bend
7355,N BEACH STREET SUITE 153,FORT WORTH,TX,76137-1898,7355 N BEACH STREET SUITE 153,32.87229591,-97.29156023,REGGIS LIQUOR #32,SHIVOOM LLC,817-262-8373,Tarrant
3341,REGENT BOULEVARD SUITE 140,IRVING,TX,75063-3133,3341 REGENT BOULEVARD SUITE 140,32.92039835,-96.99085538,REGGIS LIQUOR #635,SANTOSHI MAA LLC,,Dallas
2916,HWY 75N SUITE 100,SHERMAN,TX,75090,2916 HWY 75N SUITE 100,33.60440194,-96.54566321,REGGIS LIQUOR #75,SANTOSHI MAA LLC,817-262-8373,Grayson
4021,REGGIS COURT SUITE 311,FORT WORTH,TX,76155,4021 REGGIS COURT SUITE 311,32.82298242,-97.05900601,REGGIS LIQUOR STORE,SOURYARPAN LLC,817-262-8373,Tarrant
1595,BHWY 77W SUITE A,SAN BENITO,TX,785863776,1595 BHWY 77W SUITE A,26.13233926,-97.63510478,RESACA CITY LIQUOR,S & S FINE WINE AND LIQUOR INC.,(956) 399-7500,Cameron
7097,HWY 77N SUITE 2,OLMITO,TX,78575,7097 HWY 77N SUITE 2,26.02478193,-97.52771151,RESACA CITY LIQUOR II,S & S FINE WINE AND LIQUOR INC.,,Cameron
