addressnbr,addressline1,city,state,zip,streetaddress,tradename,owner,phone,county,shortname,oldlat,oldlng,lat,lng
1208,FM 78 SUITE A,SCHERTZ,TX,78154,1208 FM 78 SUITE A,LOL LIQUORS,PMA LLC,210-900-5994,Guadalupe,,29.5584065,-98.2541398,29.5581,-98.2541
140,HWY 59 SOUTH,GARRISON,TX,75946,140 HWY 59 SOUTH,LOLLI & POP'S,"COOK, TRACY WAYNE (ET AL)",,Nacogdoches,,31.8239514,-94.491618,31.824,-94.4916
766,W GULF BANK ROAD,HOUSTON,TX,77088,766 W GULF BANK ROAD,LONE STAR LIQUOR,ERI & E LLC,281-260-0330,Harris,,29.88930863,-95.41413074,29.88930863,-95.41413074
1801,HWY 107 WEST SUITE B,MCALLEN,TX,78504,1801 HWY 107 WEST SUITE B,LONE STAR LIQUOR,"GUERRA, MARIA G",,Hidalgo,,26.31024039,-98.22474365,26.3095,-98.2212
3665,N MAIN  SUITE B,PINE FOREST,TX,77662,3665 N MAIN  SUITE B,LONE STAR LIQUOR,REDDY & REDDY LLC,,Orange,,30.17474162,-94.02414679,30.175,-94.0243
975,HWY 190 EAST,HUNTSVILLE,TX,77340,975 HWY 190 EAST,LONE STAR LIQUOR,FREEWAY LIQUOR INC.,936-293-1144,Walker,,30.72369346,-95.5493582,30.7137,-95.5176
1921,S WASHINGTON STREET,AMARILLO,TX,79109-2412,1921 S WASHINGTON STREET,LONE STAR LIQUOR,"VICK, JANIE SHEFFY",806-240-1349,Potter,,35.1929746,-101.8481788,35.193,-101.848
4004,SAM HOUSTON 'B',HUNTSVILLE,TX,77340,4004 SAM HOUSTON 'B',LONE STAR LIQUOR #2,FREEWAY LIQUOR INC.,936-291-8023,Walker,,30.70174612,-95.53829567,30.7018,-95.5383
3408,MIDKIFF SUITE 101,MIDLAND,TX,79705,3408 MIDKIFF SUITE 101,LONE STAR LIQUOR COMPANY,BGKC BEVERAGES LLC,432-634-7500,Midland,,32.02300246,-102.1258282,32.0232,-102.125
304,N MAIN STREET,LONE STAR,TX,75668,304 N MAIN STREET,LONE STAR LIQUOR OF LONE STAR TX,KAPISH INC.,903-656-8755,Morris,,32.94560165,-94.7108833,32.945,-94.7104
6510,HWY 67 SOUTH,SAN ANGELO,TX,76904,6510 HWY 67 SOUTH,LONE STAR LIQUORS,LONE STAR BEVERAGES LLC,,Tom Green,,31.42048628,-100.526565,31.4216,-100.525
14150,HWY 281 UNIT B,SPRING BRANCH,TX,78070,14150 HWY 281 UNIT B,LONE STAR SPIRITS,"MILNER, JAMES DOYLE (ET AL)",830-885-7087,Comal,,29.93758463,-98.40977284,29.9377,-98.4095
3283,S 14TH STREET,ABILENE,TX,79605,3283 S 14TH STREET,LONE STAR SPIRITS BEER LIQUOR & WINE,LONE STAR LIQUORS LLC,325-704-2522,Taylor,,32.43218469,-99.76352728,32.4319,-99.763
2990,PINE STREET,ABILENE,TX,79601,2990 PINE STREET,LONE STAR SPIRITS BEER LIQUOR & WINE #2,LONE STAR LIQUORS LLC,325-704-4243,Taylor,,32.48654809,-99.73156506,32.4866,-99.7315
1515,SE PARKWAY SUITE A,AZLE,TX,76020,1515 SE PARKWAY SUITE A,LONGHORN  LIQUOR 2,AV LLC,817-349-9440,Tarrant,,32.90002586,-97.56544351,32.8681,-97.523
1201,LONGHORN ROAD SUITE 125,FORT WORTH,TX,76179,1201 LONGHORN ROAD SUITE 125,LONGHORN CHEERS,KPJL INC.,682-316-3551,Tarrant,,32.8474633,-97.384659,32.8474,-97.3847
111,S HICKORY HILL ROAD,BALLINGER,TX,76821-2281,111 S HICKORY HILL ROAD,LONGHORN LIQUOR,LONGHORN LIQUOR INC.,325-365-2392,Runnels,,31.75105249,-99.96921441,31.7219,-99.9591
1702,N MAIN STREET,GLADEWATER,TX,75647,1702 N MAIN STREET,LONGHORN LIQUOR,"SARTAIN, RENEA M",903-845-4379,Gregg,,32.55098121,-94.93075808,32.551,-94.9318
109,CYPRESS CREEK ROAD SUITE B4,CEDAR PARK,TX,78613,109 CYPRESS CREEK ROAD SUITE B4,LONGHORN LIQUOR,LOMAP ENTERPRISES LLC,,Williamson,,30.5005066,-97.8182548,30.5005,-97.8182
6612,AZLE AVENUE,LAKE WORTH,TX,76135,6612 AZLE AVENUE,LONGHORN LIQUOR,DIL PETROLEUM INC.,817-237-6612,Tarrant,,32.81570762,-97.43272457,32.8161,-97.4328
500,S E END BOULEVARD,MARSHALL,TX,75672,500 S E END BOULEVARD,LONGHORN LIQUOR,ALLDOC'S INC.,(903) 927-2060,Harrison,,32.53977032,-94.39107134,32.5416,-94.3489
114,W FAIRWINDS,HALLETTSVILLE,TX,779641921,114 W FAIRWINDS,LONGHORN LIQUOR,"WRIGHT, MARK ALAN",(361) 798-5099,Lavaca,,29.37693661,-96.84370647,29.4429,-96.9469
467,N LHS DRIVE SUITE 103 UNIT 2,LUMBERTON,TX,77657,467 N LHS DRIVE SUITE 103 UNIT 2,LONGHORN LIQUOR BEER & WINE,OPIT LLC,409-751-5664,Hardin,,30.2255764,-94.19611229,30.276,-94.2296
9129,EAGLE DR SUITE 800,MONT BELVIEU,TX,77580,9129 EAGLE DR SUITE 800,LONGHORN LIQUOR BEER & WINE #11,OPIT LLC,409-782-7195,Chambers,,29.86751902,-94.86923964,29.8488,-94.8592
2721,FM 1463 SUITE 500,KATY,TX,77494,2721 FM 1463 SUITE 500,LONGHORN LIQUOR BEER & WINE #12,OPIT LLC,409-782-7195,Fort Bend,,29.74327083,-95.82859727,29.7518,-95.8508
755,HWY 96 SOUTH,SILSBEE,TX,77656,755 HWY 96 SOUTH,LONGHORN LIQUOR BEER & WINE #2,OPIT LLC,409-386-6373,Hardin,,30.41587723,-94.17206414,30.4675,-93.9602
125,IVANHOE DRIVE,IVANHOE,TX,75979,125 IVANHOE DRIVE,LONGHORN LIQUOR BEER & WINE #3,OPIT LLC,409-751-5664,Tyler,,30.68388106,-94.40136406,30.6843,-94.394
5945,39TH STREET,GROVES,TX,77619,5945 39TH STREET,LONGHORN LIQUOR BEER & WINE #4,OPIT LLC,409-962-2700,Jefferson,,29.94373494,-93.92156835,29.9441,-93.9216
10383,HWY 12 SUITE D,ORANGE,TX,77632,10383 HWY 12 SUITE D,LONGHORN LIQUOR BEER & WINE #5,OPIT LLC,409-962-2700,Orange,,30.2029298,-93.881657,30.203,-93.8816
1017,NEDERLAND AVENUE,NEDERLAND,TX,77627,1017 NEDERLAND AVENUE,LONGHORN LIQUOR BEER & WINE #6,OPIT LLC,409-853-1632,Jefferson,,29.97689336,-93.98705648,29.976,-93.9867
3939,DOWLEN ROAD SUITE 12,BEAUMONT,TX,77706,3939 DOWLEN ROAD SUITE 12,LONGHORN LIQUOR BEER & WINE #7,OPIT LLC,409-229-9329,Jefferson,,30.115842,-94.1702587,30.1169,-94.1707
3949,SAM RAYBURN PARKWAY SUITE 2,BROOKELAND,TX,75931,3949 SAM RAYBURN PARKWAY SUITE 2,LONGHORN LIQUOR BEER & WINE #8,OPIT LLC,409-782-7195,Jasper,,31.11080357,-94.00382802,31.0631,-94.0458
2370,NALL STREET SUITE C & D,PORT NECHES,TX,77651,2370 NALL STREET SUITE C & D,LONGHORN LIQUOR BEER & WINE #9,OPIT LLC,409-237-5689,Jefferson,,29.9776293,-93.96511754,29.9787,-93.9651
1475,LOOP 500 EAST SUITE 1,CENTER,TX,75935-9797,1475 LOOP 500 EAST SUITE 1,LOOP 500 LIQUOR STORE,PRINCY LLC,936-590-9293,Shelby,,31.73268427,-94.20157425,31.7916,-94.1542
116,S MINGUS BOULEVARD BUILDING B,MINGUS,TX,76463-1135,116 S MINGUS BOULEVARD BUILDING B,LORI'S LIQUOR,MACKEY ENTERPRISES LLC,254-672-5711,Palo Pinto,,32.54114248,-98.42179304,32.5421,-98.4222
413,DRAKE STREET,IRAAN,TX,79744,413 DRAKE STREET,LORRIE DARLIN' K'ING RITE,K5 LLC,432-639-2288,Pecos,,30.92134946,-101.969425,30.9127,-101.898
15136,SAN PEDRO AVENUE,SAN ANTONIO,TX,78232-3716,15136 SAN PEDRO AVENUE,LOTSA LIQUORS,WILLIAM W. HALL JR. FAMILY PARTNER LTD.,210-404-0300,Bexar,,29.57837801,-98.47755507,29.5791,-98.4763
9440,LOUETTA ROAD SUITE 5,SPRING,TX,77379,9440 LOUETTA ROAD SUITE 5,LOUETTA DISCOUNT LIQUORS,LOUETTA DISCOUNT LIQUORS INC.,281-257-2028,Harris,,30.0044533,-95.5542136,30.0045,-95.555
18321,W LAKE HOUSTON PARKWAY,HUMBLE,TX,77346,18321 W LAKE HOUSTON PARKWAY,LOVE IN LIQUOR,MASANI ENTERPRISES INC.,281-852-6119,Harris,,29.9824413,-95.1628244,29.9837,-95.163
3348,FOUNTAIN VIEW DRIVE,HOUSTON,TX,77057,3348 FOUNTAIN VIEW DRIVE,LOYAL LIQUOR,LOYAL LIQUOR INC.,832-638-2986,Harris,,29.72949105,-95.48426604,29.7289,-95.4844
605,W MAIN STREET SUITE 4,RIO GRANDE CITY,TX,78582,605 W MAIN STREET SUITE 4,LOYAL LIQUORS,LOYAL INVESTMENTS AND CONSTRUCTION LLC,956-844-9968,Starr,,26.38075158,-98.82599106,26.381,-98.8262
5749,HWY 121,THE COLONY,TX,75056,5749 HWY 121,LOYALTY LIQUORS,LOYALTY LIQUORS INC.,972-722-7588,Denton ,,33.07398576,-96.91485907,33.0789,-96.8626
3111,HOLLIDAY ROAD,WICHITA FALLS,TX,76302-1543,3111 HOLLIDAY ROAD,LUCKY DISCOUNT LIQUOR,"LEE, HENRY WEI",940-322-3359,Wichita,,33.88161084,-98.4939431,33.8816,-98.4939
209,N  WALL STREET,SHAMROCK,TX,79079,209 N  WALL STREET,LUCKY LEPRECHAUN LIQUOR,"RAMOS, JOSEPHINE",806-216-0835,Wheeler,,35.21644213,-100.2505092,35.2162,-100.251
3421,CIMMARON TRAIL SUITE 101,FORT WORTH,TX,76116,3421 CIMMARON TRAIL SUITE 101,LUCKY LIQUOR,GAJUR CORPORATION,817-545-9191,Tarrant,,32.7233094,-97.4652997,32.7233,-97.4653
2835,N HENDERSON AVENUE,DALLAS,TX,75206,2835 N HENDERSON AVENUE,LUCKY LIQUOR,OLO ENTERPRISES LLC,214-824-8456,Dallas,,32.81931367,-96.78377616,32.8198,-96.7846
9910,LOOP 1604 WEST NORTH SUITE 119,SAN ANTONIO,TX,78254-5608,9910 LOOP 1604 WEST NORTH SUITE 119,LUCKY LIQUOR,GHOTRA ENTERPRISES INC.,210-688-0995,Bexar,,29.53691414,-98.73773238,29.5344,-98.6807
2000,SAM BASS ROAD #104,ROUND ROCK,TX,78681,2000 SAM BASS ROAD #104,LUCKY LIQUOR,FASHAJ ENTERPRISES INC.,(512) 388-0216,Williamson,,30.5246809,-97.7065934,30.5249,-97.7068
10013,W MONTGOMERY ROAD,HOUSTON,TX,770883121,10013 W MONTGOMERY ROAD,LUCKY LIQUOR,ADAHA INC.,(281) 999-0700,Harris,,29.8868198,-95.4535028,29.8868,-95.4535
111,FM 369 NORTH,IOWA PARK,TX,76367-7087,111 FM 369 NORTH,LUCKY LIQUOR,3DR LLC,940-855-5800,Wichita,,33.94200937,-98.60265252,33.942,-98.6027
3802,COVE VIEW BOULEVARD SPACE B,GALVESTON,TX,77554,3802 COVE VIEW BOULEVARD SPACE B,LUCKY LIQUOR,B-Z BY THE SEA INC.,409-744-4722,Galveston,,29.25090105,-94.87080411,29.2446,-94.8678
12630,BRIAR FOREST,HOUSTON,TX,77077,12630 BRIAR FOREST,LUCKY WAY LIQUOR,"PARVINAZAR, PARVIZ",(281) 589-0700,Harris,,29.75014314,-95.61541159,29.7543,-95.6075
5174,AVE H,ROSENBERG,TX,77471,5174 AVE H,LUCKY'S LIQUOR,MGGM INC,281-342-9200,Fort Bend,,29.5719173,-95.7741805,29.5719173,-95.7741805
304,W PINECREST DRIVE,MARSHALL,TX,75670,304 W PINECREST DRIVE,LUCKY'S LIQUOR STORE,LUCKY'S LIQUOR STORE LLC,(903) 935-0100,Harrison,,32.52660549,-94.37001109,32.52660549,-94.37001109
7710,BELLAIRE BOULEVARD SUITE S,HOUSTON,TX,77036,7710 BELLAIRE BOULEVARD SUITE S,LULU LIQUOR,LULU ENTERPRISES L.L.C.,713-237-5347,Harris,,29.7056672,-95.5224286,29.7056672,-95.5224286
2705,NORTH STREET,NACOGDOCHES,TX,75965,2705 NORTH STREET,LUMBERJACK DISCOUNT LIQUOR,HEAL & THARY POR INC.,936-564-6636,Nacogdoches,,31.6279989,-94.6528025,31.6279989,-94.6528025
15002,ELLA BOULEVARD SUITE 48,HOUSTON,TX,77090,15002 ELLA BOULEVARD SUITE 48,LUX LIQUORS & CIGARS,LUX LIQUOR & CIGARS INC.,832-666-2916,Harris,,29.9847709,-95.4334166,29.9847709,-95.4334166
10811,VETERANS MEMORIAL SUITE 700,HOUSTON,TX,77067,10811 VETERANS MEMORIAL SUITE 700,M & N LIQUOR,"ZHANG, JAIXI",281-895-9979,Harris,,29.9401213,-95.462609,29.9401213,-95.462609
1389,BHWY 77 WEST SUITE C,SAN BENITO,TX,78586,1389 BHWY 77 WEST SUITE C,M & N LIQUORS,M&N LIQUORS LLC,956-454-6839,Cameron,,26.10453951,-97.6321806,26.10453951,-97.6321806
12218,JONES ROAD 'K',HOUSTON,TX,77070,12218 JONES ROAD 'K',M & R LIQUOR,ELKHOURY GROUP LLC,281-261-5347,Harris,,29.950842,-95.5845939,29.9508,-95.5832
14041,GRANT RD SUITE 210,CYPRESS,TX,77429,14041 GRANT RD SUITE 210,M & R LIQUOR XII,M & R LIQUORS IV INC.,,Harris,,30.0053029,-95.63832534,30.0053029,-95.63832534
10927,LOUETTA ROAD SUITE 190,HOUSTON,TX,77070,10927 LOUETTA ROAD SUITE 190,M & R LIQUORS XI,M & R LIQUORS IV INC.,,Harris,,29.9963044,-95.57752,29.9963044,-95.57752
5901,BELL STREET UNIT C7,AMARILLO,TX,791096231,5901 BELL STREET UNIT C7,M & R PACKAGE STORE,CPL SALES LLC,806-358-4726,Randall,,35.1471043,-101.9015207,35.1471043,-101.9015207
800,N WESTERN STREET,AMARILLO,TX,79106-7022,800 N WESTERN STREET,M & R PACKAGE STORE #2,CPL SALES LLC,806-220-2220,Potter,,35.2227948,-101.8835965,35.2227948,-101.8835965
3600,MOCKINGBIRD SPACE 100,AMARILLO,TX,79109,3600 MOCKINGBIRD SPACE 100,M & R PACKAGE STORE #3,CPL SALES LLC,806-584-4236,Potter,,35.1830229,-101.8788203,35.1830229,-101.8788203
3600,MOCKINGBIRD LANE,AMARILLO,TX,79109,3600 MOCKINGBIRD LANE,M & R PACKAGE STORE #4,CPL SALES LLC,806-351-1927,Randall,,35.1830229,-101.8788203,35.1830229,-101.8788203
1309,HWY 83N SUITE 4,ZAPATA,TX,78076,1309 HWY 83N SUITE 4,M & S LIQUOR RUN,"SALINAS, FRANCISCO JR (ET AL)",(956) 765-5203,Zapata,,26.93098446,-99.15510152,26.908,-99.2726
13769,HWY 249,HOUSTON,TX,77086,13769 HWY 249,M DISCOUNT LIQUOR,M DISCOUNT LIQUOR INC.,(28) 184-7963,Harris,,29.92042447,-95.4946689,29.92042447,-95.4946689
12831,WESTHEIMER,HOUSTON,TX,77077,12831 WESTHEIMER,M K LIQUORS,PRISHA INC.,(281) 496-5975,Harris,,29.73601765,-95.60948486,29.7357,-95.6105
3711,STONE ROAD 'A',KILGORE,TX,75662,3711 STONE ROAD 'A',M&M LIQUOR #2,"KEO, SOTCHECHKATE",903-984-4825,Gregg,,32.38200881,-94.83367634,32.3824,-94.8338
3609,GREENVILLE AVENUE,DALLAS,TX,75206,3609 GREENVILLE AVENUE,M.R. LIQUOR,M.R. LIQUOR LLC,214-394-0059,Dallas,,32.83118269,-96.77025217,32.83118269,-96.77025217
200,NE 2ND STREET SUITE B,KERENS,TX,75144,200 NE 2ND STREET SUITE B,MAC'S LIQUOR,GOODLOW INC,903-396-7507,Navarro,,32.13343785,-96.22678402,32.13343785,-96.22678402
1505,W GRAND AVENUE,MARSHALL,TX,75670,1505 W GRAND AVENUE,MAC'S LIQUOR STORE,DAVID DI LAM INVESTMENTS LLC,903-935-1350,Harrison,,32.54846517,-94.38102464,32.5487,-94.3816
500,N MARTIN LUTHER KING JR,WICHITA FALLS,TX,76301,500 N MARTIN LUTHER KING JR,MAD CHICKEN,MAD CHICKEN LLC,940-636-0381,Wichita,,33.92441158,-98.49563018,33.92441158,-98.49563018
111,OLD KYLE ROAD SUITE 310,WIMBERLEY,TX,78676,111 OLD KYLE ROAD SUITE 310,MAD ROOSTER'S,MAD ROOSTER'S LLC,512-268-2866,Hays,,29.9969236,-98.0952828,29.9969236,-98.0952828
8600,FM 150W SUITE 100,KYLE,TX,78640,8600 FM 150W SUITE 100,MAD ROOSTER'S LLC,MAD ROOSTER'S LLC,512-268-2688,Hays,,29.99496009,-97.82814055,30.0477,-97.9869
1322,N AVE EAST,SHINER,TX,77984,1322 N AVE EAST,MAEKER'S,"MAEKER, MARTHA LYNETTE",361-594-3706,Lavaca,,29.43445063,-97.17708757,29.4345,-97.1776
2692,HWY 287 WEST,GROVETON,TX,758450568,2692 HWY 287 WEST,MAGEE'S LIQUOR STORE,"MAGEE, EVIE JANELL",(936) 642-1798,Trinity,,31.086511,-95.17272198,31.0748,-95.1633
3209,N MAIN STREET SUITE 115,FORT WORTH,TX,76106,3209 N MAIN STREET SUITE 115,MAGIC LIQUOR STORE,GOOD TIME INVESTMENTS INC.,(817) 626-5006,Tarrant,,32.8038469,-97.3518562,32.8038469,-97.3518562
318,N MAIN STREET,WEST,TX,76691,318 N MAIN STREET,MAIN & BROADWAY BEVERAGE CO.,"HOELSCHER, MARK G",(254) 826-5864,McLennan,,31.8042549,-97.0913124,31.8042549,-97.0913124
509,MAIN STREET,BROWNWOOD,TX,76801,509 MAIN STREET,MAIN LIQUOR,URBIS LLC,325-646-1866,Brown,,31.72033131,-98.9849195,31.72033131,-98.9849195
500,S EAGLE,WEIMAR,TX,78962,500 S EAGLE,MAIN PACKAGE STORE,BENSCOTT INC.,,Colorado,,29.69690833,-96.77681322,29.69690833,-96.77681322
100,W MAIN STREET INCLUDING 102,WOLFE CITY,TX,75496,100 W MAIN STREET INCLUDING 102,MAIN STREET LIQUOR,MAIN STREET TRADERS LLC,903-496-9800,Hunt,,33.35986521,-96.06299156,33.3709,-96.0701
6738,LAKE WORTH BOULEVARD SUITE A,LAKE WORTH,TX,76135,6738 LAKE WORTH BOULEVARD SUITE A,MAJESTIC LIQUOR WINE BEER,ONE 53 #5 INC.,,Tarrant,,32.8149195,-97.436147,32.8149195,-97.436147
12815,FM 2154 SUITE 150,COLLEGE STATION,TX,77845,12815 FM 2154 SUITE 150,MAK'S LIQUOR WINE,SY AA LA BUSINESS INC.,979-696-1200,Brazos,,30.5703953,-96.3085985,30.5703953,-96.3085985
103,W ROYALL BOULEVARD,MALAKOFF,TX,75148,103 W ROYALL BOULEVARD,MALAKOFF LIQUOR,MONIKA SAM INC,903-489-1088,Henderson,,32.12465223,-96.01214303,32.1705,-96.013
13433,HWY 149,LONGVIEW,TX,75603,13433 HWY 149,MALIBOOZE,PONTOON PARADISE LLC,903-658-3036,Gregg,,32.37162626,-94.61621199,32.3692,-94.608
803,W WILLIAM J BRYAN PARKWAY,BRYAN,TX,77803,803 W WILLIAM J BRYAN PARKWAY,MANNING'S LIQUOR STORE - 2005,AMKAY TRADING COMPANY,979-575-3127,Brazos,,30.6751081,-96.3805735,30.6751,-96.3805
7712,W LITTLE YORK,HOUSTON,TX,77040,7712 W LITTLE YORK,MAR'S LIQUOR,HH & BAR INVESTMENTS INC.,(713) 983-9495,Harris,,29.86568985,-95.50751413,29.8661,-95.5075
2427,COLLEGE HILLS BOULEVARD,SAN ANGELO,TX,76904,2427 COLLEGE HILLS BOULEVARD,MARDI GRAS LIQUOR,SL CONTROL LLC,,Tom Green,,31.43684701,-100.4797115,31.4371,-100.48
409,W FRONT STREET SUITE 130,HUTTO,TX,786344205,409 W FRONT STREET SUITE 130,MARGO'S LIQUOR,COMMON SPIRITS LLC,(512) 846-1595,Williamson,,30.5413217,-97.5489695,30.5414,-97.5489
800,E MANN ROAD SUITE 109,LAREDO,TX,78041,800 E MANN ROAD SUITE 109,MARIO'S LIQUOR STORE #2,"FLORES, MARIO",(956) 727-9133,Webb,,27.55774369,-99.5017911,27.5575,-99.5019
611,SHILOH UNIT 2,LAREDO,TX,78041,611 SHILOH UNIT 2,MARIO'S LIQUOR STORE #3,"FLORES, JAVIER",,Webb,,27.59079745,-99.47986897,27.5908,-99.4799
309,MARKET STREET,BAIRD,TX,79504-6409,309 MARKET STREET,MARKET STREET BEVERAGE CO,TRIPLE M LOGISTICS LLC,325-854-1390,Callahan,,32.32057237,-99.35233515,32.3935,-99.3941
1901,INDUSTRIAL BOULEVARD,ABILENE,TX,79602,1901 INDUSTRIAL BOULEVARD,MARKET STREET BEVERAGE CO.,TRIPLE M LOGISTICS LLC,,Taylor,,32.4012815,-99.74754839,32.4009,-99.7467
2902,ALMEDA GENOA ROAD SUITE B4,HOUSTON,TX,77047,2902 ALMEDA GENOA ROAD SUITE B4,MARPHA LIQUOR,MARPHA CORPORATION,,Harris,,29.6139105,-95.3797746,29.6136,-95.3796
803,S WASHINGTON STREET,BEEVILLE,TX,78102,803 S WASHINGTON STREET,MARY MARTIN'S PACKAGE STORE,BOOPOT LLC,(361) 358-2228,Bee,,28.39617883,-97.7459128,28.3953,-97.7452
3738,HWY 83 WEST,RIO GRANDE CITY,TX,78582,3738 HWY 83 WEST,MATIAS LIQUOR STORE,"MUNIZ, MATIAS (ET AL)",956-437-3470,Starr,,26.38485066,-98.90232242,26.3853,-98.9025
112,HWY 69 EAST,POINT,TX,75472,112 HWY 69 EAST,MAX'S PACKAGE STORE,BRANT-STA INC.,903-474-9734,Rains,,32.92909721,-95.86931527,32.9304,-95.8707
3503,NEDERLAND AVENUE SUITE B,NEDERLAND,TX,77627,3503 NEDERLAND AVENUE SUITE B,MAXX LIQUOR,BOLIVAR HIGH ISLAND BUSINESS INC.,409-779-1100,Jefferson,,29.95791271,-94.00439422,29.958,-94.0045
1404,N CLEVELAND STREET,DAYTON,TX,77535,1404 N CLEVELAND STREET,MAXX LIQUOR #2,MAXX BUSINESS INC.,,Liberty,,30.06410278,-94.90361309,30.0541,-94.8968
15239,HWY 90 SUITE B,BEAUMONT,TX,77713,15239 HWY 90 SUITE B,MAXX LIQUOR #3,MAXX BUSINESS INC.,,Jefferson,,30.06084438,-94.25394769,30.054,-94.2842
11263,HWY 31 WEST,MALAKOFF,TX,75148,11263 HWY 31 WEST,MAY'S LIQUOR BEER & WINE,GOPALPRIYA CORPORATION,903-489-2838,Henderson,,32.18216835,-95.96368505,32.1806,-95.9689
319,S MAIN STREET,WINONA,TX,75792,319 S MAIN STREET,MAY'S LIQUOR WINONA,GOPALPRIYA CORPORATION,903-877-4851,Smith,,32.48778266,-95.16800575,32.4877,-95.1684
9125,HWY 107 WEST SUITE 3,MISSION,TX,78573,9125 HWY 107 WEST SUITE 3,MAYBERRY LIQUOR STORE,MAYBERRY LIQUOR STORE LLC,956-369-2028,Hidalgo,,26.29368696,-98.30077394,26.3139,-98.3005
14238,TOMBALL PARKWAY SUITE A,HOUSTON,TX,77086,14238 TOMBALL PARKWAY SUITE A,MC LIQUOR,MC LIQUOR INC.,281-583-1334,Harris,,29.92357753,-95.49853647,29.924,-95.4993
1127,W RANKIN ROAD SUITE C,HOUSTON,TX,77067,1127 W RANKIN ROAD SUITE C,MCCOY'S DISCOUNT LIQUORS,MCCOY'S DISCOUNT LIQUORS INC.,,Harris,,29.95268343,-95.44686886,29.9652,-95.4358
7735,GREENVILLE AVENUE,DALLAS,TX,75231,7735 GREENVILLE AVENUE,MEGA LO LIQUOR,ROYAL SMS CORPORATION,214-373-0360,Dallas,,32.887,-96.7583,32.8869,-96.7582
800,E 2ND STREET SUITE D,RIO GRANDE CITY,TX,78582,800 E 2ND STREET SUITE D,MEL'S LIQUOR HOUSE,"ANDRADE, MELISSA ANN",,Starr,,26.37760815,-98.81317805,26.3776,-98.8136
9296,WESTHEIMER ROAD SUITE 150,HOUSTON,TX,77063,9296 WESTHEIMER ROAD SUITE 150,MEMORIAL FINE WINES & SPIRITS,JWC SPRING MEADOW ESTATES LLC,,Harris,,29.73733221,-95.52758405,29.738,-95.5265
821,ANTOINE DRIVE,HOUSTON,TX,77024,821 ANTOINE DRIVE,MEMORIAL LIQUOR,ADAM'S LIQUOR INC.,713-575-8790,Harris,,29.78041772,-95.47557505,29.782,-95.4758
1729,HWY 83 NORTH,MENARD,TX,76859,1729 HWY 83 NORTH,MENARD LIQUOR STORE,MENARD LIQUOR STORE LLC,325-396-4333,Menard,,30.90804843,-99.83259727,30.941,-99.7819
5070,HWY 83 EAST,RIO GRANDE CITY,TX,78582,5070 HWY 83 EAST,MENO'S LIQUOR STORE,"GONZALEZ, ELIAS",956-573-7690,Starr,,26.35890789,-98.782025,26.3588,-98.7818
6210,HWY 87 NORTH,CENTER,TX,75935,6210 HWY 87 NORTH,MENZIES INC. #1,MENZIES INC.,(936) 598-2618,Shelby,,31.82667012,-94.2839229,31.8271,-94.2906
11900,METRIC BOULEVARD SUITE I,AUSTIN,TX,78758,11900 METRIC BOULEVARD SUITE I,METRIC LIQUORS,METRIC LIQUORS LLC,(512) 275-0320,Travis,,30.38798127,-97.70685205,30.3998,-97.704
2504,14TH STREET,PLANO,TX,75074,2504 14TH STREET,METRO LIQUORS,METRO LIQUORS LLC,,Collin,,33.01793694,-96.68208557,33.0167,-96.6817
204,S CENTRAL EXPRESSWAY SUITE 43,ALLEN,TX,75002,204 S CENTRAL EXPRESSWAY SUITE 43,METRO LIQUORS,METRO LIQUORS 2 LLC,,Collin,,33.0998552,-96.6800515,33.1004,-96.6798
5501,JAMES AVENUE SUITE A,FORT WORTH,TX,76115,5501 JAMES AVENUE SUITE A,METROPLEX LIQUOR,NAZ SHABNAM INC.,(817) 923-5741,Tarrant,,32.6666685,-97.3452287,32.6666,-97.3452
1182,HWY 186 EAST,RAYMONDVILLE,TX,78580,1182 HWY 186 EAST,MI CASA ROYALE LLC,MI CASA ROYALE LLC,956-642-7936,Willacy,,26.481923,-97.76617677,26.4808,-97.7674
510,SPUR 63,LONGVIEW,TX,75601,510 SPUR 63,MICHAEL LIQUOR,MICHAEL LIQUOR INC.,903-553-9992,Gregg,,32.50856058,-94.72404152,32.5059,-94.7482
11487,HWY 155,BERRYVILLE,TX,75763,11487 HWY 155,MIDWAY PACKAGE STORE,LAM SPECIALTIES INC.,(903) 876-3555,Henderson,,32.04188201,-95.5221311,32.0849,-95.4967
13075,N SAGINAW BOULEVARD SUITE 101,FORT WORTH,TX,76179-8401,13075 N SAGINAW BOULEVARD SUITE 101,MIGHTY LIQUOR,JAY JAY AMBE 1 INC.,(817) 439-1119,Tarrant,,32.96717142,-97.42152809,32.9673,-97.4216
104,S MAIN STREET,COTULLA,TX,78014,104 S MAIN STREET,MIKE'S COUNTRY LIQUOR,"QUINTERO, JOCHEBED ABIGAIL",830-317-3154,La Salle,,28.43557481,-99.23485725,28.4353,-99.2346
1420,W MARSHALL AVENUE,LONGVIEW,TX,75604,1420 W MARSHALL AVENUE,MIKE'S DISCOUNT LIQUOR,"HARRIS, MICHAEL LYNN",903-238-8266,Gregg,,32.50368927,-94.77144511,32.5039,-94.7713
6465,E MOCKINGBIRD LANE SUITE 401,DALLAS,TX,75214,6465 E MOCKINGBIRD LANE SUITE 401,MIKE'S DISCOUNT LIQUOR,L&M RETAIL VENTURES LLC,214-824-7227,Dallas,,32.83648182,-96.75076487,32.8369,-96.7503
